name,description,primary_muscles,secondary_muscles,equipment,rep_range,cues,demo_url
Barbell Bench Press,Lie flat, retract shoulders, lower to mid-chest,Chest,Triceps,barbell,6-8,"Retract shoulders; drive through feet; lead with chest",""
Incline Dumbbell Bench Press,Incline ~30 degrees,press up,Upper Chest,Shoulders,dumbbell,8-10,"Elbows 45°; full control",""
Decline Bench Press,Lower chest focus,Chest,Triceps,barbell,6-8,"Keep back flat; controlled descent",""
Push-Up,Bodyweight push program,Chest,Triceps,bodyweight,10-20,"Brace core; full ROM",""
Chest Fly (Dumbbell),Arc motion with slight elbow bend,Chest,,dumbbell,12-15,"Slight bend in elbows; feel the stretch",""
Cable Crossover,High-to-low or low-to-high variations,Chest,,machine,12-15,"Squeeze at peak contraction",""
Machine Chest Press,Machine-based chest press,Chest,Triceps,machine,8-12,"Seat height: handles at mid-chest",""
Dips (Chest Bias),Lean forward slightly for chest bias,Chest,Triceps,bodyweight,6-10,"Lean forward; go deep but controlled",""
Dips (Triceps Bias),Upright torso for triceps focus,Triceps,Chest,bodyweight,6-10,"Keep elbows tight to body",""
Pull-Up,Full pull to chin over bar,Lats,Upper Back,bodyweight,6-10,"Retract shoulders; lead with chest",""
Chin-Up,Underhand grip for biceps bias,Lats,Biceps,bodyweight,6-10,"Chin over bar; avoid swinging",""
Lat Pulldown,Pulldown to chest,Lats,Upper Back,machine,8-12,"Lean slightly back; pull to upper chest",""
Seated Cable Row,Row to lower chest/upper abdomen,Mid Back,Biceps,machine,8-12,"Pull elbows tight to ribs",""
Barbell Bent Row,Hinge and row to lower ribs,Lats,Traps,barbell,6-10,"Hinge at hips; bar close to shin",""
One-Arm Dumbbell Row,Stagger stance, row to hip,Lats,Upper Back,dumbbell,10-12,"Pull elbow to hip; brace core",""
T-Bar Row,Chest supported or standing,Mid Back,Lats,barbell,6-10,"Drive with elbows; keep torso tight",""
Inverted Row,Row using bodyweight Inverted Row,Mid Back,Biceps,bodyweight,8-12,"Keep body straight; squeeze shoulder blades",""
Face Pulls,Rope pull to face,Rear Delts,Traps,cable,12-15,"External rotate; pull to forehead",""
Barbell Overhead Press,Press overhead standing,Delts,Triceps,barbell,5-8,"Brace core; press in straight line",""
Dumbbell Shoulder Press,Seated or standing dumbbell press,Delts,Triceps,dumbbell,8-10,"Keep wrists neutral; control descent",""
Arnold Press,Rotate palms during press,Delts,Front Delts,dumbbell,8-10,"Rotate palms; keep tension",""
Lateral Raise,Raise arms to side,Lateral Delts,,dumbbell,10-20,"Slight elbow bend; lead with pinky",""
Seated Machine Shoulder Press,Machine shoulder press,Delts,Triceps,machine,8-12,"Adjust seat so handles at ear level",""
Rear Delt Fly,Bent-over rear delt fly,Rear Delts,,dumbbell,12-15,"Chest down; drive elbows out",""
